[GIN] 2022/07/14 - 18:53:51 | 200 |   20.388166ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:53:51 | 200 |    9.070291ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:53:57 | 200 |   24.282375ms |  192.168.50.227 | PATCH    "/task_batch/c8fff6dc-9d2f-4bbc-b70f-dd7c52cedd16/"
[GIN] 2022/07/14 - 18:53:57 | 200 |    9.204291ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:54:02 | 200 |   16.546625ms |  192.168.50.227 | PATCH    "/task_batch/ed6a05ef-0522-452d-8745-c96672c2fa03/"
[GIN] 2022/07/14 - 18:54:02 | 200 |    9.139959ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:54:07 | 200 |   22.766625ms |  192.168.50.227 | PATCH    "/task_batch/74a33e74-b8e6-446d-a0db-5a9d19d1f094/"
[GIN] 2022/07/14 - 18:54:07 | 200 |    9.463292ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:54:11 | 200 |   22.467542ms |  192.168.50.227 | PATCH    "/task_batch/2298f77c-69e1-44d7-9d18-9319ba33dc83/"
[GIN] 2022/07/14 - 18:54:11 | 200 |    7.667208ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:55:43 | 200 |    3.017458ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:55:43 | 200 |    2.497333ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:55:43 | 200 |    7.425166ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:55:45 | 200 |    8.058917ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:56:21 | 200 |    2.755292ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:56:21 | 200 |    1.908291ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:56:21 | 200 |    7.812958ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:56:23 | 200 |     8.00925ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:56:28 | 200 |   22.408125ms |  192.168.50.227 | PATCH    "/task_batch/74a33e74-b8e6-446d-a0db-5a9d19d1f094/"
[GIN] 2022/07/14 - 18:56:28 | 200 |   10.078417ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:56:34 | 200 |   23.440166ms |  192.168.50.227 | PATCH    "/task_batch/e47b4003-7092-4ba5-91a0-106fa978c268/"
[GIN] 2022/07/14 - 18:56:34 | 200 |    9.489917ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:57:23 | 200 |    3.916625ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:57:23 | 200 |    3.104959ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:57:23 | 200 |      10.087ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:00:28 | 200 |    8.809292ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 19:01:34 | 200 |     3.52675ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:01:34 | 200 |    2.525542ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:01:34 | 200 |    8.547542ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:01:37 | 200 |    6.947417ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 19:01:54 | 200 |       7.964ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/14 - 19:01:54 | 200 |    2.329209ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:01:54 | 200 |    1.969875ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:01:54 | 200 |    7.930041ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:01:55 | 200 |    7.682583ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 19:03:16 | 200 |     2.12075ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:03:16 | 200 |      2.0335ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:03:16 | 200 |     6.80025ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:03:17 | 200 |    7.447333ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 19:04:55 | 200 |     83.3345ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    5.197917ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.355209ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/14 - 19:04:55 | 200 |        2.51ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.962834ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.471292ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/14 - 19:04:55 | 200 |     1.25425ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    3.933792ms |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/14 - 19:04:55 | 200 |     1.41425ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.407375ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    8.752459ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.407375ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/14 - 19:04:55 | 200 |    1.481458ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/14 - 19:04:58 | 200 |    3.509708ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:04:58 | 200 |    2.659958ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:04:58 | 200 |    9.690417ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:05:00 | 200 |    7.587666ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 19:05:00 | 500 |     4.87875ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/14 - 19:06:19 | 200 |      3.5575ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 19:06:19 | 200 |    2.064167ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 19:06:19 | 200 |    7.181625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 19:06:20 | 200 |     8.16425ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
