[GIN] 2022/07/16 - 14:06:18 | 200 |    3.895292ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:06:18 | 200 |    2.798708ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:06:18 | 200 |   13.650625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:06:19 | 200 |    8.374875ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:06:19 | 200 |    4.146708ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:06:19 | 200 |    5.109791ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:06:19 | 200 |     3.42875ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:10:22 | 200 |    3.758542ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:10:22 | 200 |    2.741833ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:10:22 | 200 |    8.522625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:10:23 | 200 |    9.314958ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:10:23 | 200 |    3.536125ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:10:23 | 200 |     4.40125ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:10:23 | 200 |    3.584208ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:10:38 | 200 |    6.362208ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:10:38 | 200 |    3.537625ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:10:38 | 200 |    14.18875ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:11:53 | 200 |   11.896333ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:11:53 | 200 |    4.398125ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:11:53 | 200 |    5.145375ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:11:53 | 200 |    3.038667ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:17:55 | 200 |    3.657375ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:17:55 | 200 |    2.067958ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:17:55 | 200 |    9.751542ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:19:50 | 200 |   83.700625ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    5.560375ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.828125ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    2.781958ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:19:50 | 200 |     293.125µs |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/16 - 14:19:50 | 200 |    2.339459ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.517375ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.238458ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.318459ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.044167ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:19:50 | 200 |   10.522958ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:19:50 | 200 |    1.731917ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 14:19:50 | 200 |     4.06025ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:19:53 | 200 |    5.150208ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:19:53 | 200 |      4.5935ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:19:53 | 200 |   15.406542ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:19:54 | 200 |   12.606625ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:19:54 | 200 |    3.785375ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:19:54 | 200 |    4.167458ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:19:54 | 200 |    3.361083ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:37:51 | 200 |    4.318708ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:37:51 | 200 |    2.744917ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:37:51 | 200 |    8.528166ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:37:52 | 200 |   10.767917ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:37:52 | 200 |    4.258291ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:37:52 | 200 |    4.933875ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:37:52 | 200 |    4.517667ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:55:25 | 200 |     8.05175ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 14:55:25 | 200 |    2.847083ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:55:25 | 200 |    2.701417ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:55:25 | 200 |   13.671875ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 14:55:26 | 200 |   10.967291ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:55:26 | 200 |    5.639334ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 14:55:26 | 200 |    5.029333ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 14:55:26 | 200 |    3.549666ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:58:26 | 200 |       9.038ms |  192.168.50.227 | PATCH    "/downtime/6cd76663-8639-4d7f-8aea-96ae864d684f/"
[GIN] 2022/07/16 - 14:58:33 | 200 |   27.239416ms |  192.168.50.227 | PATCH    "/task_batch/e47b4003-7092-4ba5-91a0-106fa978c268/"
[GIN] 2022/07/16 - 14:58:33 | 200 |    8.928042ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 14:59:46 | 200 |    83.18375ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/16 - 14:59:46 | 200 |     5.67825ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 14:59:46 | 200 |     1.60625ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/16 - 14:59:47 | 200 |    2.635958ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 14:59:47 | 200 |     986.709µs |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/16 - 14:59:47 | 200 |    3.161917ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 14:59:47 | 200 |     1.34025ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:59:47 | 200 |    1.845917ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:59:47 | 200 |    1.245208ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 14:59:47 | 200 |    1.845167ms |  192.168.50.227 | POST     "/downtime/"
